"","Linear Regression R^2 - Training","Linear Regression R^2 - Validation","Random Forest R^2 - Training","Random Forest R^2 - Validation","Conditional RF R^2 - Training","Conditional RF R^2 - Validation"
"1",0.408598442526791,0.150660761428496,0.968412013371738,0.3298505145304,0.451570996383444,0.33138485287225
"2",0.413907622684425,0.000232735352923612,0.967647766048043,0.323362420091362,0.477485714411806,0.316874403393603
"3",0.412869559170299,0.289374925741046,0.965603770334205,0.369155973641792,0.467190874729215,0.364799660643723
"4",0.379243804808151,0.00332173364538521,0.966550630953896,0.403211304702405,0.431340507309888,0.405998536079676
"5",0.427218689182616,0.00416298180159862,0.96700932652135,0.340881151611653,0.482308395502864,0.341882039372338
"6",0.410546312824837,0.331489136258893,0.966609124744529,0.348840745628647,0.467011722655138,0.33573318529624
"7",0.412472739873246,0.00347852841508871,0.966172519475897,0.328308689115696,0.467231786138342,0.325432085039681
"8",0.400528388830398,0.328010179669574,0.966554951989948,0.371826638771237,0.456554859116446,0.370109511987068
"9",0.423103139144877,0.149326207333605,0.968159459097923,0.363574820306928,0.476278336694635,0.368465904155273
"10",0.406548171755573,0.00376545367421963,0.966814749894676,0.360819897572607,0.469906205353659,0.35974183169483
"11",0.410736341956739,0.00335657849133325,0.967490197785182,0.368513584855218,0.478277784624002,0.36232238551604
"12",0.412465312010128,0.210028143972806,0.967451846114561,0.380950056273966,0.454967255913026,0.371372621576127
"13",0.413163139703459,0.0816015739619997,0.966713557155675,0.343853608315924,0.482610156747639,0.344679744487285
"14",0.41529008387822,0.0534551003961514,0.96548498400569,0.326184985957611,0.47321947339134,0.347722512169106
"15",0.418553032508294,0.241526493075764,0.96658777572234,0.344427220496409,0.472313195470659,0.345888164740812
"16",0.410278117631305,0.235083881232169,0.967731067759222,0.350472628994524,0.472350663021594,0.355091381296334
"17",0.425439271528294,0.298386201295912,0.967467368469131,0.382997233393884,0.478876626838998,0.38006881830969
"18",0.427464259636487,0.234828786345508,0.966297868062786,0.341876106821087,0.481817103067366,0.33698326408969
"19",0.403681381618599,0.320062960655698,0.96687860778366,0.333051564942106,0.458109242506317,0.322756426462071
"20",0.418230126025827,0.275741872788023,0.963798162758619,0.346752263693457,0.465858499466227,0.33463084669316
